form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,overabundance_tag,source,page,language_id
pangkhua049,muh,1.pl.2.sg.fut.neg,kən=muʔ=at̪=ne=lo,kənΣatnelo,k ə n Σ a t n e l o,kə+n+Σ+at+ne+lo,k ə + n + Σ + a t + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua050,muh,1.pl.2.pl.fut.neg,kən=muʔ=ei=ne=lo,kənΣateinelo,k ə n Σ a t ei n e l o,kə+n+Σ+at+ei+ne+lo,k ə + n + Σ + a t + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua051,muh,1.sg.3.sg.fut.neg,kə=muʔ=at̪=lo,kəΣatlo,k ə Σ a t l o,kə+Σ+at+lo,k ə + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua052,muh,1.pl.3.sg.fut.neg,kən=muʔ=at̪=lo,kənΣatlo,k ə n Σ a t l o,kə+n+Σ+at+lo,k ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua053,muh,1.pl.3.pl.fut.neg,kən=muʔ=at̪=ei=lo,kənΣateilo,k ə n Σ a t ei l o,kə+n+Σ+at+ei+lo,k ə + n + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua054,kal,2.sg.fut.neg,nə=kal=at̪=lo,nəΣatlo,n ə Σ a t l o,nə+Σ+at+lo,n ə + Σ + a t + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua055,kal,2.pl.fut.neg,nən=kal=at̪=lo,nənΣatlo,n ə n Σ a t l o,nə+n+Σ+at+lo,n ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua056,muh,2.sg.1.sg.fut.neg,nə=hɒŋ=muʔ=at̪=lo,nəhɒŋΣatlo,n ə h ɒ ŋ Σ a t l o,nə+hɒŋ+Σ+at+lo,n ə + h ɒ ŋ + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua057,muh,2.sg.1.pl.fut.neg,nə=hɒŋ=muʔ=at̪=ei=lo,nəhɒŋΣateilo,n ə h ɒ ŋ Σ a t ei l o,nə+hɒŋ+Σ+at+ei+lo,n ə + h ɒ ŋ + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua058,muh,2.pl.1.sg.fut.neg,nən=hɒŋ=muʔ=at̪=lo,nənhɒŋΣatlo,n ə n h ɒ ŋ Σ a t l o,nə+n+hɒŋ+Σ+at+lo,n ə + n + h ɒ ŋ + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua059,muh,2.pl.1.pl.fut.neg,nən=hɒŋ=muʔ=at̪=ei=lo,nənhɒŋΣateilo,n ə n h ɒ ŋ Σ a t ei l o,nə+n+hɒŋ+Σ+at+ei+lo,n ə + n + h ɒ ŋ + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua060,muh,2.sg.3.sg.fut.neg,nə=muʔ=at̪=lo,nəΣatlo,n ə Σ a t l o,nə+Σ+at+lo,n ə + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua061,muh,2.sg.3.pl.fut.neg,nə=muʔ=at̪=ei=lo,nəΣateilo,n ə Σ a t ei l o,nə+Σ+at+ei+lo,n ə + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua062,muh,2.pl.3.sg.fut.neg,nən=muʔ=at̪=lo,nənΣatlo,n ə n Σ a t l o,nə+n+Σ+at+lo,n ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua063,muh,2.pl.3.pl.fut.neg,nən=muʔ=at̪=ei=lo,nənΣateilo,n ə n Σ a t ei l o,nə+n+Σ+at+ei+lo,n ə + n + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua064,kal,3.sg.fut.neg,ə=kal=at̪=lo,əΣatlo,ə Σ a t l o,ə+Σ+at+lo,ə + Σ + a t + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua065,kal,3.pl.fut.neg,ən=kal=at̪=lo,ənΣatlo,ə n Σ a t l o,ə+n+Σ+at+lo,ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua066,muh,3.sg.1.sg.fut.neg,ə=hɒŋ=muʔ=at̪=lo,əhɒŋΣatlo,ə h ɒ ŋ Σ a t l o,ə+hɒŋ+Σ+at+lo,ə + h ɒ ŋ + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua067,muh,3.sg.1.pl.fut.neg,ə=hɒŋ=muʔ=at̪=ei=lo,əhɒŋΣateilo,ə h ɒ ŋ Σ a t ei l o,ə+hɒŋ+Σ+at+ei+lo,ə + h ɒ ŋ + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua068,muh,3.pl.1.sg.fut.neg,ən=hɒŋ=muʔ=at̪=lo,ənhɒŋΣatlo,ə n h ɒ ŋ Σ a t l o,ə+n+hɒŋ+Σ+at+lo,ə + n + h ɒ ŋ + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua069,muh,3.pl.1.pl.fut.neg,ən=hɒŋ=muʔ=at̪=ei=lo,ənhɒŋΣateilo,ə n h ɒ ŋ Σ a t ei l o,ə+n+hɒŋ+Σ+at+ei+lo,ə + n + h ɒ ŋ + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua070,muh,3.sg.2.sg.fut.neg,ə=muʔ=at̪=ne=lo,əΣatnelo,ə Σ a t n e l o,ə+Σ+at+ne+lo,ə + Σ + a t + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua071,muh,3.sg.2.pl.fut.neg,ə=muʔ=at̪=ei=ne=lo,əΣateinelo,ə Σ a t ei n e l o,ə+Σ+at+ei+ne+lo,ə + Σ + a t + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua072,muh,3.pl.2.sg.fut.neg,ən=muʔ=at̪=ne=lo,ənΣatnelo,ə n Σ a t n e l o,ə+n+Σ+at+ne+lo,ə + n + Σ + a t + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua073,muh,3.pl.2.pl.fut.neg,ən=muʔ=at̪ =ei=ne=lo,ənΣateinelo,ə n Σ a t ei n e l o,ə+n+Σ+at+ei+ne+lo,ə + n + Σ + a t + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua074,muh,3.sg.3.sg.fut.neg,ə=muʔ=at̪=lo,əΣatlo,ə Σ a t l o,ə+Σ+at+lo,ə + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua075,muh,3.sg.3.pl.fut.neg,ə=muʔ=at̪=ei=lo,əΣateilo,ə Σ a t ei l o,ə+Σ+at+ei+lo,ə + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua076,muh,3.pl.3.sg.fut.neg,ən=muʔ=at̪=lo,ənΣatlo,ə n Σ a t l o,ə+n+Σ+at+lo,ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua077,muh,3.pl.3.pl.fut.neg,ən=muʔ=at̪=ei=lo,ənΣatlo,ə n Σ a t l o,ə+n+Σ+at+lo,ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua078,muh,1.sg.nfut.aff,kə=muʔ,kəΣ,k ə Σ,kə+Σ,k ə + Σ,default,,Akter2024Grammar,333,pangkhua
pangkhua079,muh,1.pl.nfut.aff,kən=muʔ,kənΣ,k ə n Σ,kə+n+Σ,k ə + n + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua080,muh,1.sg.2.sg.nfut.aff,kə=muʔ=ne,kəΣne,k ə Σ n e,kə+Σ+ne,k ə + Σ + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua081,muh,1.sg.2.pl.nfut.aff,kə=muʔ=ei=ne,kəΣeine,k ə Σ ei n e,kə+Σ+ei+ne,k ə + Σ + ei + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua082,muh,1.pl.2.sg.nfut.aff,kən=muʔ=ne,kənΣne,k ə n Σ n e,kə+n+Σ+ne,k ə + n + Σ + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua083,muh,1.pl.2.pl.nfut.aff,kən=muʔ=ei=ne,kənΣeine,k ə n Σ ei n e,kə+n+Σ+ei+ne,k ə + n + Σ + ei + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua084,muh,1.sg.3.sg.nfut.aff,kə=muʔ,kəΣ,k ə Σ,kə+Σ,k ə + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua085,muh,1.sg.3.pl.nfut.aff,kə=muʔ=ei,kəΣei,k ə Σ ei,kə+Σ+ei,k ə + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua086,muh,1.pl.3.sg.nfut.aff,kən=muʔ,kənΣ,k ə n Σ,kə+n+Σ,k ə + n + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua087,muh,1.pl.3.pl.nfut.aff,kən=muʔ=ei,kənΣei,k ə n Σ ei,kə+n+Σ+ei,k ə + n + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua088,muh,2.sg.nfut.aff,nə=muh,nəΣ,n ə Σ,nə+Σ,n ə + Σ,default,,Akter2016Endangerment,18,pangkhua
pangkhua089,muh,2.pl.nfut.aff,nən=muʔ,nənΣ,n ə n Σ,nə+n+Σ,n ə + n + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua090,muh,2.sg.1.sg.nfut.aff,nə=hɒŋ=muʔ,nəhɒŋΣ,n ə h ɒ ŋ Σ,nə+hɒŋ+Σ,n ə + h ɒ ŋ + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua091,muh,2.sg.1.pl.nfut.aff,nə=hɒŋ=muʔ=ei,nəhɒŋΣei,n ə h ɒ ŋ Σ ei,nə+hɒŋ+Σ+ei,n ə + h ɒ ŋ + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua092,muh,2.pl.1.sg.nfut.aff,nən=hɒŋ=muʔ,nənhɒŋΣ,n ə n h ɒ ŋ Σ,nə+n+hɒŋ+Σ,n ə + n + h ɒ ŋ + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua093,muh,2.pl.1.pl.nfut.aff,nən=hɒŋ=muʔ=ei,nənhɒŋΣei,n ə n h ɒ ŋ Σ ei,nə+n+hɒŋ+Σ+ei,n ə + n + h ɒ ŋ + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua094,muh,2.sg.3.sg.nfut.aff,nə=muʔ,nəΣ,n ə Σ,nə+Σ,n ə + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua095,muh,2.sg.3.pl.nfut.aff,nə=muʔ=ei,nəΣei,n ə Σ ei,nə+Σ+ei,n ə + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua096,muh,2.pl.3.sg.nfut.aff,nən=muʔ,nənΣ,n ə n Σ,nə+n+Σ,n ə + n + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua097,muh,2.pl.3.pl.nfut.aff,nən=muʔ=ei,nənΣei,n ə n Σ ei,nə+n+Σ+ei,n ə + n + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua098,muh,3.sg.nfut.aff,ə=muʔ,əΣ,ə Σ,ə+Σ,ə + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua099,muh,3.pl.nfut.aff,ən=muʔ,ənΣ,ə n Σ,ə+n+Σ,ə + n + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua100,muh,3.sg.1.sg.nfut.aff,ə=hɒŋ=muʔ,əhɒŋΣ,ə h ɒ ŋ Σ,ə+hɒŋ+Σ,ə + h ɒ ŋ + Σ,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua101,muh,3.sg.1.sg.nfut.aff,hɒŋ=muʔ,hɒŋΣ,h ɒ ŋ Σ,hɒŋ+Σ,h ɒ ŋ + Σ,,optional_third,Akter2024Grammar,9,pangkhua
pangkhua102,muh,3.sg.1.pl.nfut.aff,hɒŋ=muʔ=ei,hɒŋΣei,h ɒ ŋ Σ ei,hɒŋ+Σ+ei,h ɒ ŋ + Σ + ei,,optional_third,Akter2025Pangkhua,250430,pangkhua
pangkhua103,muh,3.sg.1.pl.nfut.aff,ə=hɒŋ=muʔ=ei,əhɒŋΣei,ə h ɒ ŋ Σ ei,ə+hɒŋ+Σ+ei,ə + h ɒ ŋ + Σ + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua104,muh,3.pl.1.sg.nfut.aff,ən=hɒŋ=muʔ,ənhɒŋΣ,ə n h ɒ ŋ Σ,ə+n+hɒŋ+Σ,ə + n + h ɒ ŋ + Σ,default,,Akter2025Pangkhua,250430,pangkhua
