form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,overabundance_tag,source,page,language_id
pangkhua140,muh,3.pl.1.sg.nfut.neg,ən=hɒŋ=muʔ=lo,ənhɒŋΣlo,ə n h ɒ ŋ Σ l o,ə+n+hɒŋ+Σ+lo,ə + n + h ɒ ŋ + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua141,muh,3.pl.1.pl.nfut.neg,ən=hɒŋ=muʔ=ei=lo,ənhɒŋΣeilo,ə n h ɒ ŋ Σ ei l o,ə+n+hɒŋ+Σ+ei+lo,ə + n + h ɒ ŋ + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua142,muh,3.sg.2.sg.nfut.neg,ə=muʔ=ne=lo,əΣnelo,ə Σ n e l o,ə+Σ+ne+lo,ə + Σ + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua143,muh,3.sg.2.pl.nfut.neg,ə=muʔ=ei=ne=lo,əΣeinelo,ə Σ ei n e l o,ə+Σ+ei+ne+lo,ə + Σ + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua144,muh,3.pl.2.sg.nfut.neg,ən=muʔ=ne=lo,ənΣnelo,ə n Σ n e l o,ə+n+Σ+ne+lo,ə + n + Σ + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua145,muh,3.pl.2.pl.nfut.neg,ən=muʔ=ei=ne=lo,ənΣeinelo,ə n Σ ei n e l o,ə+n+Σ+ei+ne+lo,ə + n + Σ + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua146,muh,3.sg.3.sg.nfut.neg,ə=muʔ=lo,əΣlo,ə Σ l o,ə+Σ+lo,ə + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua147,muh,3.sg.3.pl.nfut.neg,ə=muʔ=ei=lo,əΣeilo,ə Σ ei l o,ə+Σ+ei+lo,ə + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua148,muh,3.pl.3.sg.nfut.neg,ən=muʔ=lo,ənΣlo,ə n Σ l o,ə+n+Σ+lo,ə + n + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua149,muh,3.pl.3.pl.nfut.neg,ən=muʔ=ei=lo,ənΣeilo,ə n Σ ei l o,ə+n+Σ+ei+lo,ə + n + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
