cell_id,POS,label,language_id
1.sg.2.pl.nfut.neg,verb,1SG>2PL.NFUT.NEG,pangkhua
1.sg.2.sg.fut.aff,verb,1SG>2SG.FUT.AFF,pangkhua
1.sg.2.sg.fut.neg,verb,1SG>2SG.FUT.NEG,pangkhua
1.sg.2.sg.nfut.aff,verb,1SG>2SG.NFUT.AFF,pangkhua
1.sg.2.sg.nfut.neg,verb,1SG>2SG.NFUT.NEG,pangkhua
1.sg.3.pl.fut.aff,verb,1SG>3PL.FUT.AFF,pangkhua
1.sg.3.pl.fut.neg,verb,1SG>3PL.FUT.NEG,pangkhua
1.sg.3.pl.nfut.aff,verb,1SG>3PL.NFUT.AFF,pangkhua
1.sg.3.pl.nfut.neg,verb,1SG>3PL.NFUT.NEG,pangkhua
1.sg.3.sg.fut.aff,verb,1SG>3SG.FUT.AFF,pangkhua
1.sg.3.sg.fut.neg,verb,1SG>3SG.FUT.NEG,pangkhua
1.sg.3.sg.nfut.aff,verb,1SG>3SG.NFUT.AFF,pangkhua
1.sg.3.sg.nfut.neg,verb,1SG>3SG.NFUT.NEG,pangkhua
1.sg.fut.aff,verb,1SG.FUT.AFF,pangkhua
1.sg.fut.neg,verb,1SG.FUT.NEG,pangkhua
1.sg.nfut.aff,verb,1SG.NFUT.AFF,pangkhua
1.sg.nfut.neg,verb,1SG.NFUT.NEG,pangkhua
2.pl.1.pl.fut.aff,verb,2PL>1PL.FUT.AFF,pangkhua
2.pl.1.pl.fut.neg,verb,2PL>1PL.FUT.NEG,pangkhua
2.pl.1.pl.nfut.aff,verb,2PL>1PL.NFUT.AFF,pangkhua
2.pl.1.pl.nfut.neg,verb,2PL>1PL.NFUT.NEG,pangkhua
2.pl.1.sg.fut.aff,verb,2PL>1SG.FUT.AFF,pangkhua
2.pl.1.sg.fut.neg,verb,2PL>1SG.FUT.NEG,pangkhua
2.pl.1.sg.nfut.aff,verb,2PL>1SG.NFUT.AFF,pangkhua
2.pl.1.sg.nfut.neg,verb,2PL>1SG.NFUT.NEG,pangkhua
2.pl.3.pl.fut.aff,verb,2PL>3PL.FUT.AFF,pangkhua
2.pl.3.pl.fut.neg,verb,2PL>3PL.FUT.NEG,pangkhua
2.pl.3.pl.nfut.aff,verb,2PL>3PL.NFUT.AFF,pangkhua
2.pl.3.pl.nfut.neg,verb,2PL>3PL.NFUT.NEG,pangkhua
